Organisation,Branch,Acronym,Name L10n:en,Acronym L10n:en,Type,Sectors,Services,Groups,Country,Region,Website,Email,Phone,Phone2,Twitter,Logo,KV:XX,Comments
ACTED,,ACTED,ACTED,ACTED,INGO,CCCM,,,France,,,,,,,,,
Action Against Hunger,,ACF,Action Against Hunger,ACF,INGO,"HEAL, MHPSS, LL, DRR, NUT",,,France,,,,,,,,,
ActionAid,,ACTION AID,ActionAid,ACTION AID,INGO,CCCM,,,South Africa,,,,,,,,,
ADRA,,ADRA,ADRA,ADRA,INGO,CCCM,,,United States,,,,,,,,,
Alliance for Cooperation and Legal Aid Bangladesh,,ACLAB,Alliance for Cooperation and Legal Aid Bangladesh,ACLAB,LNGO,LEGAL,,,Bangladesh,,,,,,,,,
Alternative Development Initiative,,ADI,Alternative Development Initiative,ADI,NNGO,"LL, HEAL, EDUC",,,Bangladesh,,,,,,,,,
American Refugee Committee,,ARC,American Refugee Committee,ARC,INGO,,,,United States,,,,,,,,,
Bangladesh National Woman Lawyers Association,,BNWLA,Bangladesh National Woman Lawyers Association,BNWLA,NNGO,"MHPSS, PROT, LEGAL",,,Bangladesh,,,,,,,,,
Bangladesh Red Crescent Society,,BDRCS,Bangladesh Red Crescent Society,BDRCS,Red Cross / Red Crescent,"DRR, SHEL, WASH",,,Bangladesh,,,,,,,,,
BBC Media Action,,BBC,BBC Media Action,BBC,INGO,,,,United Kingdom,,,,,,,,,
Bibliotheques Sans Frontieres,,BSF,Bibliotheques Sans Frontieres,BSF,INGO,,,,France,,,,,,,,,
BRAC,,BRAC,BRAC,BRAC,INGO,"EDUC, PROT, DRR, WASH, CCCM",,,Bangladesh,,,,,,,,,
CARE,,CARE,CARE,CARE,INGO,CCCM,,,Switzerland,,,,,,,,,
Catholic Relief Services,,CRS,Catholic Relief Services,CRS,INGO,,,,United States,,,,,,,,,
CBM,,CBM,CBM,CBM,INGO,,,,Germany,,,,,,,,,
Center for Disability in Development,,CDD,Center for Disability in Development,CDD,NNGO,"HEAL, MHPSS, EDUC, PROT, DRR, WASH",,,Bangladesh,,,,,,,,,
